street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
A.F. Kriegers Vej,2023,10,40,40,40,29,26,45,73.0,65.0,113.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2024,3,3,3,3,4,3,5,133.0,100.0,167.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2024,3,40,40,40,22,34,38,55.0,85.0,95.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2024,10,3,3,3,5,6,7,167.0,200.0,233.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2024,10,40,40,40,34,36,46,85.0,90.0,115.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.L. Drewsens Vej,2012,3,6,6,6,5,7,7,83.0,117.0,117.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2012,3,18,18,18,19,23,21,106.0,128.0,117.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2013,3,6,6,6,5,6,6,83.0,100.0,100.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2013,3,18,18,18,11,20,23,61.0,111.0,128.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2013,9,6,6,6,4,9,6,67.0,150.0,100.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2013,9,18,18,18,16,19,19,89.0,106.0,106.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2014,3,6,6,6,9,8,10,150.0,133.0,167.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
