FID,vejkode,vejnavn,antal_pladser,restriktion,vejstatus,vejside,bydel,p_ordning,p_type,p_status,rettelsedato,oprettelsesdato,x,id,taelle_id,startdato_midlertidigt_nedlagt,slutdato_midlertidigt_nedlagt,restriktionstype,restriktionstekst,taelle_note,delebilsklub,aendring_p_ordning,uuid,ogc_fid,wkb_geometry
p_pladser.6060,1896,Frankrigsgade,9,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2022-01-13T09:07:03.779,2004-01-29T00:00:00,,22500,562,,,,,,,,720e6664-e72b-4687-aedd-ba156ec42f56,6060,"MULTILINESTRING ((12.60709805276218 55.66136709556227, 12.606503158631813 55.66108088727428))"
p_pladser.6061,1896,Frankrigsgade,2,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:16.697,2004-01-30T00:00:00,,22036,564,,,,,,,,3d2aab9f-a7c6-4ad8-9f2f-cf62f76969d7,6061,"MULTILINESTRING ((12.610329441498523 55.66272662954214, 12.610377111088123 55.662641208801816, 12.610386580523288 55.66262525652225))"
p_pladser.6062,1896,Frankrigsgade,2,ja,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2022-01-13T09:12:40.637,2004-01-29T00:00:00,,49925,562,,,Standsningsforbud,7-17,,,,80cb7ce6-fba1-4384-9b10-b9861677ba45,6062,"MULTILINESTRING ((12.606503158631813 55.66108088727428, 12.606383301052425 55.66102337830433))"
p_pladser.6063,1896,Frankrigsgade,3,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:16.476,2004-01-30T00:00:00,,22034,564,,,,,,,,1b69a4d6-84f4-4b77-9afa-a29b7f181c77,6063,"MULTILINESTRING ((12.610505872979912 55.66242416032641, 12.610601932416412 55.662262045583354))"
p_pladser.6064,1896,Frankrigsgade,3,nej,,Lige husnr.,Amager Øst,"Off. reguleret, privat grund",,,2021-04-06T09:38:33.653,2017-03-15T15:09:43,Åbnede kommunale P-pladser,45703,5481,,,,,,,,a68615f3-a0e2-4bea-816a-e083fce9e51c,6064,"MULTILINESTRING ((12.60625764757568 55.66062892239294, 12.606389751581387 55.66049988918883))"
p_pladser.6065,1896,Frankrigsgade,6,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2021-01-18T09:32:04.628,2004-02-11T00:00:00,,21356,562,,,,,,,,3e23fa21-b900-4e1e-b5e5-f216874f35c3,6065,"MULTILINESTRING ((12.607220669000183 55.6613371390679, 12.606808187017764 55.661142573051066))"
p_pladser.6066,1896,Frankrigsgade,27,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 60°",,2021-01-18T09:38:14.078,2004-01-29T00:00:00,,22730,563,,,,,,,,83e3e5cf-034c-43eb-967a-eb15982e88a4,6066,"MULTILINESTRING ((12.60866344011157 55.662245616446505, 12.607806185090276 55.66176630992752))"
p_pladser.6067,1896,Frankrigsgade,7,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:16.365,2004-01-29T00:00:00,,22757,563,,,,,,,,39d11001-b169-4572-81d7-7a5e457dde32,6067,"MULTILINESTRING ((12.608428297324554 55.661946522041255, 12.6088588869763 55.66218524595199))"
p_pladser.6068,1896,Frankrigsgade,6,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:10.495,2004-01-29T00:00:00,,21328,565,,,,,,,,57cc330e-18dc-467b-92ee-91fd2a4a1085,6068,"MULTILINESTRING ((12.610944015121678 55.66331089755615, 12.610623828966862 55.66307881250693))"
p_pladser.6069,1896,Frankrigsgade,3,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2021-01-18T09:32:04.74,2004-02-11T00:00:00,,21357,562,,,,,,,,093b09c2-0ab9-49bb-8bc7-b7fd5573d385,6069,"MULTILINESTRING ((12.60674702776104 55.66111372420285, 12.606543377923861 55.6610176619566))"
p_pladser.6070,1896,Frankrigsgade,7,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:10.716,2004-01-29T00:00:00,,21330,565,,,,,,,,bb9a58ca-7c1b-4718-8745-e4e4100cd5e1,6070,"MULTILINESTRING ((12.610847829290378 55.66335031924009, 12.610668039795515 55.66322270687805, 12.610459603246182 55.66307088386049))"
p_pladser.6071,1896,Frankrigsgade,10,nej,Offentlig vej,Ulige husnr.,Amager Øst,Elbil-plads med ladestandere,"Afmærket skråparkering, 30°",,2024-05-16T09:28:06.56,2004-01-29T00:00:00,,22498,,,,,,,,,c4ac65ac-e3d4-4526-aba8-3d9cd51dd2df,6071,"MULTILINESTRING ((12.60599243989853 55.66087846564389, 12.605421378773139 55.660608631850366))"
p_pladser.6072,1896,Frankrigsgade,5,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 45°",,2024-05-16T09:26:52.111,2004-01-29T00:00:00,,22497,562,,,,,,,,47580038-2828-429b-a721-67d66afbd888,6072,"MULTILINESTRING ((12.606185695324669 55.66096977987387, 12.60599243989853 55.66087846564389))"
p_pladser.6073,1896,Frankrigsgade,1,nej,Offentlig vej,Ulige husnr.,Amager Øst,Delebil parkering,"Afmærket skråparkering, 30°",,2025-01-08T14:22:15.074,2017-11-07T14:06:09.187,,46144,,,,,,,Relok,,b37cac4e-4a7d-4628-9fe1-5b901adea097,6073,"MULTILINESTRING ((12.605421378773139 55.660608631850366, 12.605413744504123 55.66060502451529, 12.605409553161762 55.66058781228999, 12.605409335792501 55.660586919637886))"
p_pladser.6074,1896,Frankrigsgade,29,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 90°",,2021-01-18T09:38:20.664,2004-01-30T00:00:00,,21397,564,,,,,,,,2da9940f-dd1f-4661-b971-eb293cfe347c,6074,"MULTILINESTRING ((12.610510382606497 55.66285431264164, 12.610683931017336 55.66255232399877, 12.61085747677964 55.66225033510331))"
p_pladser.6075,1896,Frankrigsgade,1,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,Afmærket parkering,,2021-01-18T09:38:19.563,2004-01-29T00:00:00,,21327,563,,,,,,,,190fd60a-f42d-41cb-bf1c-f982c7d0a714,6075,"MULTILINESTRING ((12.608786803512967 55.662285466299714, 12.608720640364645 55.66224683097572))"
p_pladser.6076,1900,Frankrigshusene,10,nej,Offentlig vej,Ulige husnr.,Amager Øst,Elbil-plads med ladestandere,"Afmærket skråparkering, 75°",,2024-10-08T13:23:29.23,2004-01-29T00:00:00,,52889,,,,,,,,,bff28bc5-8897-47d9-8c6a-eb36b813c3af,6076,"MULTILINESTRING ((12.607836958336467 55.66248332347132, 12.608034255638152 55.66245121998265, 12.60804375259965 55.66244968436167, 12.608093117808627 55.66244170218985, 12.608139894598018 55.66243413853466, 12.608232288016465 55.66241897043326))"
p_pladser.6077,1900,Frankrigshusene,4,nej,Offentlig vej,Ulige husnr.,Amager Øst,Elbil-plads uden ladestandere,"Afmærket skråparkering, 75°",,2024-06-14T11:53:17.075,2004-01-29T00:00:00,,47052,,,,,,,,,1007f009-9040-4f86-90bb-82a5791f7074,6077,"MULTILINESTRING ((12.607599425002624 55.66252197353058, 12.607758817250657 55.66249603819868))"
p_pladser.6078,1900,Frankrigshusene,4,nej,Offentlig vej,Ulige husnr.,Amager Øst,Elbil-plads med ladestandere,"Afmærket skråparkering, 75°",,2023-06-23T09:04:09.917,2004-01-29T00:00:00,,21334,,,,,,,,,c90deb28-d367-4df4-9681-b5b5ccc562b3,6078,"MULTILINESTRING ((12.606713801261629 55.66266638000104, 12.60687406007447 55.66264040234061))"
p_pladser.6079,1900,Frankrigshusene,2,nej,Offentlig vej,Ulige husnr.,Amager Øst,Delebil parkering,"Afmærket skråparkering, 75°",,2023-06-23T09:04:09.917,2004-01-29T00:00:00,,45136,,,,,,,KINTO,,5af403c2-44ce-40a8-b4a1-233d08229469,6079,"MULTILINESTRING ((12.60687406007447 55.66264040234061, 12.606958501244648 55.662626644179994))"
p_pladser.6080,1900,Frankrigshusene,12,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 75°",,2023-06-23T09:10:15.866,2004-01-29T00:00:00,,51553,566,,,,,,,,abd26065-4f69-4b57-8794-bb33dd531f22,6080,"MULTILINESTRING ((12.60703736403199 55.66261375661104, 12.607522004769239 55.662534829752126))"
p_pladser.6081,1900,Frankrigshusene,1,nej,Offentlig vej,Ulige husnr.,Amager Øst,Motorcykel parkering,"Afmærket skråparkering, 45°",,2023-06-23T09:04:09.917,2004-01-29T00:00:00,,45135,,,,,,,,,6f645eaf-77ff-4bd7-9ce2-5b8f6807d153,6081,"MULTILINESTRING ((12.606665781464335 55.66270905657454, 12.60670877518532 55.662667165237536, 12.606713801261629 55.66266638000104))"
p_pladser.6082,1900,Frankrigshusene,10,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 75°",,2024-10-08T13:23:15.522,2004-01-29T00:00:00,,52890,566,,,,,,,,26f70700-0b57-4b2f-8da5-050ccca87b0a,6082,"MULTILINESTRING ((12.608232288016465 55.66241897043326, 12.608629803003044 55.662354920693645))"
p_pladser.6083,1900,Frankrigshusene,2,nej,Offentlig vej,Ulige husnr.,Amager Øst,Blå betalingszone,"Afmærket skråparkering, 75°",,2024-10-08T13:20:25.537,2004-01-29T00:00:00,,52391,566,,,,,,,,88ccce52-03c2-4e33-a359-93dffdce97d9,6083,"MULTILINESTRING ((12.607758817250657 55.66249603819868, 12.607836958336467 55.66248332347132))"
p_pladser.6084,1900,Frankrigshusene,2,nej,Offentlig vej,Ulige husnr.,Amager Øst,Delebil parkering,"Afmærket skråparkering, 75°",,2023-06-23T09:07:23.994,2004-01-29T00:00:00,,50965,,,,,,,HYRE,,c0e7a115-1e5b-410b-8cb9-3acea6dbd3aa,6084,"MULTILINESTRING ((12.606958501244648 55.662626644179994, 12.607037365364764 55.6626137946379))"
p_pladser.6085,1900,Frankrigshusene,1,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2021-01-18T09:27:50.673,2004-02-11T00:00:00,,21359,566,,,,,,,,8139745d-1713-43c9-b444-92101a4b7716,6085,"MULTILINESTRING ((12.606944052283858 55.662753393227455, 12.606805833379537 55.662775737944145))"
p_pladser.6086,1900,Frankrigshusene,21,nej,Offentlig vej,Lige husnr.,Amager Øst,Blå betalingszone,Uafmærket parkering,,2021-01-18T09:27:50.624,2004-02-11T00:00:00,,21358,566,,,,,,,,887d2e3e-6fc2-42ba-b7b6-528e7fe377ff,6086,"MULTILINESTRING ((12.608845489733003 55.66244319566503, 12.608141587938402 55.66255813462357, 12.607711901181858 55.66262824909556, 12.60742039455876 55.66267613436817, 12.607044128833977 55.662737184748906))"
p_pladser.6087,1904,Fredensborggade,6,nej,Offentlig vej,Lige husnr.,Nørrebro,Elbil-plads med ladestandere,"Afmærket skråparkering, 90°",,2022-10-03T11:20:02.759,2003-08-20T00:00:00,,48288,,,,,,,,,cfecd834-65e5-453c-8098-4d73a37572c9,6087,"MULTILINESTRING ((12.539038602465999 55.698574438583876, 12.538805961014063 55.6985763932826))"
p_pladser.6088,1904,Fredensborggade,2,nej,Offentlig vej,Lige husnr.,Nørrebro,Delebil parkering,"Afmærket skråparkering, 90°",,2025-01-08T15:38:32.481,2003-08-20T00:00:00,,50913,,,,,,,KINTO,,0b86e140-cde0-4d73-8137-e81c227312dd,6088,"MULTILINESTRING ((12.53911728082066 55.69857384214527, 12.53909903743151 55.698573991140485, 12.539038602465999 55.698574438583876))"
p_pladser.6089,1904,Fredensborggade,5,nej,Offentlig vej,Ulige husnr.,Nørrebro,Gul betalingszone,Afmærket parkering,,2021-01-18T09:53:39.08,2003-08-20T00:00:00,,19885,1169,,,,,,,,84ae3dd5-03a7-423e-8080-8465a9ef7138,6089,"MULTILINESTRING ((12.540027922128614 55.698444885692076, 12.540020007188568 55.698445272193155, 12.539574705495822 55.698448724046614))"
p_pladser.6090,1904,Fredensborggade,14,nej,Offentlig vej,Lige husnr.,Nørrebro,Gul betalingszone,"Afmærket skråparkering, 90°",,2024-06-10T08:47:17.271,2003-08-20T00:00:00,,52366,1169,,,,,,,,c0cad096-4b14-448c-8974-abea9311faff,6090,"MULTILINESTRING ((12.539664662963679 55.69856814239057, 12.539577575458996 55.698569213388595, 12.539311337763639 55.69857225709873, 12.539157074146756 55.69857351714058))"
p_pladser.6091,1904,Fredensborggade,1,nej,Offentlig vej,Lige husnr.,Nørrebro,Delebil parkering,"Afmærket skråparkering, 90°",,2025-01-08T15:38:32.481,2003-08-20T00:00:00,,51998,,,,,,,HYRE,,9e6f163c-8fe5-4afc-877d-cdd28d5622da,6091,"MULTILINESTRING ((12.539157074146756 55.69857351714058, 12.53911728082066 55.69857384214527))"
p_pladser.6092,1904,Fredensborggade,4,nej,Offentlig vej,Ulige husnr.,Nørrebro,Gul betalingszone,Afmærket parkering,,2021-01-18T09:53:21.664,2003-08-20T00:00:00,,19984,1169,,,,,,,,5b40d558-0332-42ed-ac96-403a15fa7f9e,6092,"MULTILINESTRING ((12.539205923206898 55.698454503485564, 12.53886472238504 55.698457247641414, 12.538839840068405 55.69845937292062, 12.538815010760327 55.69846291561563))"
p_pladser.6093,1904,Fredensborggade,10,nej,Offentlig vej,Lige husnr.,Nørrebro,Elbil-plads med ladestandere,"Afmærket skråparkering, 90°",,2024-06-10T08:47:48.603,2003-08-20T00:00:00,,19884,,,,,,,,,95599d0e-a78d-4d85-87f1-a0ec89196c16,6093,"MULTILINESTRING ((12.540062084520837 55.698563254133774, 12.539664662963679 55.69856814239057))"
p_pladser.6094,1912,Fredenshøj Allé,3,ja,Privat fællesvej,Lige husnr.,Amager Øst,3 timers restriktion,Uafmærket parkering,,2024-02-16T11:15:45.983,2004-11-18T00:00:00,,26641,5231,,,Tidsbegrænsning,8-22,,,,9209f961-29d0-47e7-9928-ad35e17dbf72,6094,"MULTILINESTRING ((12.624534070992286 55.654543674088174, 12.624640994856271 55.65440343834442))"
p_pladser.6095,1912,Fredenshøj Allé,1,ja,Privat fællesvej,Lige husnr.,Amager Øst,3 timers restriktion,Uafmærket parkering,,2024-02-16T11:15:45.983,2004-11-18T00:00:00,,26639,5231,,,Tidsbegrænsning,8-22,,,,b4477056-2137-452b-827d-ed53f2227c3a,6095,"MULTILINESTRING ((12.62418156418939 55.65500599583888, 12.624237154798537 55.654933088110276))"
p_pladser.6096,1912,Fredenshøj Allé,5,ja,Privat fællesvej,Lige husnr.,Amager Øst,3 timers restriktion,Uafmærket parkering,,2024-02-16T11:15:45.983,2004-11-18T00:00:00,,26640,5231,,,Tidsbegrænsning,8-22,,,,0523024e-a2ba-4cb8-8d82-685968e5aeb2,6096,"MULTILINESTRING ((12.624281170740236 55.65487536048323, 12.62447623871107 55.65461952342712))"
p_pladser.6097,1916,Fredericiagade,4,nej,Offentlig vej,Lige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:34:23.573,2003-04-04T00:00:00,,14019,195,,,,,,,,5d3e077f-2955-486f-b42e-c5fdc5b96890,6097,"MULTILINESTRING ((12.588210141726236 55.68645189717258, 12.587879185769822 55.68654158710217))"
p_pladser.6098,1916,Fredericiagade,1,nej,Offentlig vej,Lige husnr.,Indre By,Besøgsplads,Afmærket parkering,,2021-01-18T08:15:55.375,2004-01-05T00:00:00,Besøgsplads udfor husnr. 24,12560,,,,,,,,,58ef0182-9a4b-4d7e-9ca4-b0f02d54a120,6098,"MULTILINESTRING ((12.590360093586218 55.68587063326334, 12.590286821549707 55.68589023281697))"
p_pladser.6099,1916,Fredericiagade,2,nej,Offentlig vej,Lige husnr.,Indre By,Ambassade parkering,Afmærket parkering,,2021-07-19T10:45:54.345,2008-01-24T00:00:00,Den Mexicanske Ambassade,49077,,,,,,,,,f47c4d9d-38f9-4b36-b3dd-8ca528af0843,6099,"MULTILINESTRING ((12.591774344048497 55.685505181071704, 12.591933935206375 55.685462678722544))"
p_pladser.6100,1916,Fredericiagade,1,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:34:23.505,2003-04-04T00:00:00,,14018,195,,,,,,,,02cfb235-438e-4b0a-b499-4638788576e7,6100,"MULTILINESTRING ((12.589031264216322 55.686150267859695, 12.588921676875467 55.68617999372754))"
p_pladser.6101,1916,Fredericiagade,3,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:34:23.368,2003-04-04T00:00:00,,14016,195,,,,,,,,b8b468c3-6491-4bb0-9d63-bfe4c5bf008b,6101,"MULTILINESTRING ((12.588182717741354 55.68637839544589, 12.587925630583438 55.68644802707705))"
p_pladser.6102,1916,Fredericiagade,8,nej,Offentlig vej,Lige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2023-11-30T12:41:17.093,2003-04-04T00:00:00,,14020,195,,,,,,,,0bd70883-370f-4a67-a30a-9c8035bd60c8,6102,"MULTILINESTRING ((12.589084494002199 55.68621358926475, 12.58857195430809 55.68635141832522, 12.58847036940139 55.6863799953092))"
p_pladser.6103,1916,Fredericiagade,3,nej,Offentlig vej,Lige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-07-01T13:42:51.139,2003-04-07T00:00:00,,13864,196,,,,,,,,59c31ef1-28f8-4acf-a422-87c2af40421d,6103,"MULTILINESTRING ((12.589721926535388 55.68604382993148, 12.5895008936626 55.686103832832785))"
p_pladser.6104,1916,Fredericiagade,4,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2022-08-19T10:40:33.131,2003-04-07T00:00:00,,51112,195,,,,,,,,8eff93a2-d444-4b89-ac5b-363f25d00e24,6104,"MULTILINESTRING ((12.586682496203544 55.686784353778904, 12.586703245291332 55.68677875874103, 12.58675321272605 55.68676528488961, 12.586840060067646 55.68674186620309, 12.586979362786582 55.686704302555874, 12.587012604792157 55.686695338655426))"
p_pladser.6105,1916,Fredericiagade,18,nej,Offentlig vej,Ulige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-01-18T08:18:37.606,2003-04-07T00:00:00,,13874,197,,,,,,,,36a4a5ec-54ee-476a-86e3-3c41ae549206,6105,"MULTILINESTRING ((12.593527827704463 55.68496490335329, 12.593032183656712 55.6850963566575, 12.592073985554691 55.68535047906857))"
p_pladser.6106,1916,Fredericiagade,13,nej,Offentlig vej,Lige husnr.,Indre By,Grøn betalingszone,Uafmærket parkering,,2021-01-15T20:34:23.297,2003-04-04T00:00:00,,14015,195,,,,,,,,ea27cc50-8e14-4ede-ad8b-6503d1424c90,6106,"MULTILINESTRING ((12.587479060789457 55.686648582843965, 12.586445448634795 55.68692565407058))"
